MATRIZ INVERSA 1:
 0.171	0.344	-0.269	0.247	0.091	-0.064	-0.403	0.107	-0.135	-0.010	
-0.032	-0.096	0.067	-0.037	0.007	-0.043	0.044	0.043	-0.008	0.031	
-0.194	-0.286	0.231	-0.221	-0.093	0.095	0.370	-0.138	0.167	0.011	
0.064	0.108	-0.078	0.073	0.052	-0.070	-0.151	0.074	-0.082	0.031	
-0.441	-0.862	0.700	-0.669	-0.276	0.243	1.047	-0.390	0.494	-0.039	
0.396	0.720	-0.563	0.528	0.260	-0.230	-0.895	0.319	-0.400	0.020	
-0.224	-0.288	0.232	-0.207	-0.166	0.181	0.440	-0.193	0.207	-0.035	
-0.136	-0.281	0.220	-0.228	-0.069	0.030	0.332	-0.078	0.132	0.015	
0.091	-0.031	0.020	-0.005	0.030	-0.045	-0.041	0.012	-0.014	-0.033	
0.189	0.458	-0.387	0.368	0.086	-0.015	-0.477	0.139	-0.241	-0.008	
