MATRIZ INVERSA 2
-0.131	-0.021	-0.072	-0.005	0.259	0.216	0.092	-0.187	-0.256	0.110	
0.050	0.087	-0.069	0.062	0.036	0.005	-0.095	0.060	-0.139	-0.014	
-0.108	0.116	-0.316	-0.014	0.342	0.338	0.013	-0.208	-0.355	0.176	
0.041	0.071	-0.084	0.030	0.099	-0.044	-0.064	0.049	-0.043	-0.028	
0.076	0.053	-0.016	-0.002	-0.100	-0.131	-0.041	0.075	0.081	0.013	
0.052	0.025	0.023	0.126	-0.074	-0.077	-0.080	0.045	0.076	-0.099	
-0.475	0.070	-0.300	-0.195	0.483	0.761	0.342	-0.555	-0.424	0.297	
0.188	-0.176	0.335	0.009	-0.480	-0.457	-0.022	0.359	0.477	-0.189	
0.260	-0.009	0.127	0.047	-0.257	-0.288	-0.129	0.168	0.230	-0.147	
0.097	-0.189	0.412	-0.033	-0.369	-0.387	-0.052	0.265	0.427	-0.139	
